Date,Open,High,Low,Close,Adj Close,Volume
2009-01-20,112.290001,114.629997,112.230003,114.279999,76.397758,3268300
2009-01-21,111.930000,113.040001,110.400002,110.669998,73.984421,2838100
2009-01-22,110.599998,110.769997,107.879997,108.540001,72.560501,4016600
2009-01-23,107.919998,108.320000,106.690002,107.690002,71.992256,2676200
2009-01-26,107.430000,107.820000,106.300003,106.750000,71.363846,2240900
2009-01-27,107.800003,109.589996,107.629997,109.260002,73.041847,3420800
2009-01-28,109.309998,109.809998,105.720001,106.529999,71.216782,4348100
2009-01-29,105.559998,106.309998,103.660004,104.080002,69.578949,3724400
2009-01-30,104.550003,104.870003,103.440002,103.750000,69.358307,2630000
2009-02-02,104.019997,105.680000,103.389999,105.389999,70.648773,2700200
2009-02-03,104.300003,104.830002,102.750000,102.879997,68.966179,2846400
2009-02-04,102.750000,102.870003,101.620003,102.519997,68.724854,2305400
2009-02-05,103.239998,103.879997,102.209999,102.610001,68.785217,2279500
2009-02-06,102.250000,102.860001,101.900002,102.290001,68.570633,1667500
2009-02-09,101.690002,102.669998,101.059998,102.620003,68.791901,2257300
2009-02-10,104.110001,104.959999,103.449997,104.849998,70.286797,3782800
2009-02-11,105.709999,106.500000,105.529999,106.209999,71.198448,2774200
2009-02-12,105.980003,106.180000,104.739998,105.209999,70.528099,1818400
2009-02-13,103.949997,103.949997,102.230003,102.410004,68.651077,2466800
2009-02-17,104.550003,105.660004,104.349998,105.599998,70.789520,2813900
2009-02-18,106.059998,106.559998,104.300003,104.699997,70.186241,2768600
2009-02-19,102.690002,104.059998,102.230003,102.919998,68.992973,3219400
2009-02-20,104.269997,105.160004,103.300003,103.919998,69.663361,4272000
2009-02-23,103.599998,104.879997,103.169998,104.879997,70.306900,2688700
2009-02-24,105.699997,106.680000,104.769997,104.769997,70.233170,4197100
2009-02-25,105.239998,105.489998,103.029999,103.559998,69.422005,3908100
2009-02-26,102.870003,103.260002,101.980003,102.470001,68.691307,2611100
2009-02-27,102.570000,103.010002,101.209999,101.879997,68.295753,3267700
2009-03-02,102.220001,103.279999,102.089996,103.279999,69.426445,3302000
2009-03-03,102.230003,103.570000,101.809998,102.589996,68.962669,3084900
2009-03-04,101.489998,102.250000,101.160004,102.120003,68.646729,3178400
2009-03-05,104.019997,105.440002,103.440002,104.959999,70.555756,4562400
2009-03-06,104.260002,105.970001,104.089996,104.260002,70.085243,3125900
2009-03-09,104.510002,104.550003,103.120003,103.650002,69.675163,2070500
2009-03-10,102.430000,102.750000,101.510002,101.660004,68.337494,2602600
2009-03-11,101.290001,102.760002,100.930000,102.760002,69.076897,3101500
2009-03-12,102.660004,103.970001,102.309998,103.250000,69.406288,3558900
2009-03-13,102.750000,103.879997,102.330002,102.730003,69.056778,2504000
2009-03-16,100.820000,101.449997,100.500000,101.110001,67.967766,3265600
2009-03-17,101.720001,102.330002,100.389999,100.559998,67.598076,3076200
2009-03-18,101.120003,108.070000,100.900002,104.370003,70.159225,8578800
2009-03-19,105.620003,105.660004,104.220001,104.500000,70.246605,3650900
2009-03-20,104.620003,105.000000,103.779999,103.919998,69.856682,3479700
2009-03-23,104.290001,104.419998,102.970001,103.019997,69.251717,2097000
2009-03-24,102.190002,105.160004,101.930000,104.000000,69.910469,5477100
2009-03-25,103.290001,103.720001,102.309998,102.599998,68.969391,2549600
2009-03-26,102.440002,104.059998,102.160004,103.790001,69.769333,2385300
2009-03-27,104.150002,104.930000,103.559998,104.559998,70.286942,1853900
2009-03-30,105.440002,105.870003,103.940002,104.959999,70.555756,2300100
2009-03-31,105.040001,105.800003,105.000000,105.709999,71.059990,1094600
2009-04-01,106.120003,106.559998,105.529999,106.370003,71.708511,2383400
2009-04-02,105.889999,106.070000,104.839996,105.070000,70.832062,1766300
2009-04-03,104.910004,105.160004,102.660004,102.919998,69.382706,3316800
2009-04-06,103.540001,103.589996,102.220001,102.480003,69.086075,1418100
2009-04-07,102.540001,103.309998,102.480003,102.739998,69.261360,1312600
2009-04-08,103.070000,103.860001,102.949997,103.650002,69.874779,1007800
2009-04-09,102.470001,103.180000,101.980003,102.349998,68.998383,1088800
2009-04-13,102.959999,103.510002,102.930000,103.290001,69.632111,946600
2009-04-14,103.250000,104.209999,102.930000,103.830002,69.996201,1336000
2009-04-15,104.129997,104.300003,102.879997,103.650002,69.874779,1152500
2009-04-16,102.849998,103.449997,102.779999,102.830002,69.321991,1055600
2009-04-17,102.470001,102.709999,101.370003,101.699997,68.560219,2582800
2009-04-20,102.629997,103.400002,102.449997,103.239998,69.598503,1714400
2009-04-21,104.040001,104.209999,102.220001,102.220001,68.910812,909100
2009-04-22,102.449997,102.559998,101.110001,101.599998,68.492859,2278100
2009-04-23,101.349998,101.750000,100.940002,101.589996,68.486069,1688300
2009-04-24,100.790001,100.980003,100.099998,100.570000,67.798485,2830000
2009-04-27,101.070000,101.190002,100.059998,101.000000,68.088348,2294600
2009-04-28,101.500000,101.580002,99.089996,99.349998,66.976028,2332500
2009-04-29,99.669998,100.080002,98.150002,98.470001,66.382774,3752600
2009-04-30,97.980003,98.360001,97.389999,98.080002,66.119858,2778100
2009-05-01,97.120003,97.290001,96.570000,97.110001,65.664749,2772200
2009-05-04,97.360001,97.820000,96.790001,97.430000,65.881172,2246700
2009-05-05,97.459999,97.830002,96.760002,97.309998,65.800026,1369000
2009-05-06,97.120003,98.000000,97.000000,97.080002,65.644501,2045900
2009-05-07,95.940002,96.699997,94.330002,94.709999,64.041924,5755200
2009-05-08,95.019997,95.389999,94.639999,94.940002,64.197433,2193400
2009-05-11,96.050003,96.449997,95.790001,96.290001,65.110313,2167400
2009-05-12,96.180000,97.019997,95.800003,96.639999,65.346947,2304800
2009-05-13,97.360001,97.930000,97.239998,97.690002,66.056953,1917500
2009-05-14,97.599998,98.250000,97.300003,98.070000,66.313927,1704600
2009-05-15,98.000000,98.050003,97.459999,98.040001,66.293602,2306600
2009-05-18,98.010002,98.110001,96.370003,96.519997,65.265816,2234700
2009-05-19,96.190002,96.470001,95.709999,96.010002,64.920959,1624300
2009-05-20,95.930000,97.160004,95.830002,97.019997,65.603966,2825700
2009-05-21,97.550003,97.639999,94.349998,94.580002,63.954006,4771700
2009-05-22,93.820000,94.489998,93.349998,93.529999,63.244007,4483400
2009-05-26,94.050003,94.099998,92.120003,92.120003,62.290520,3633100
2009-05-27,92.239998,92.580002,90.379997,90.489998,61.188412,7490200
2009-05-28,91.769997,91.980003,90.230003,91.800003,62.074200,9824300
2009-05-29,91.699997,94.230003,91.639999,94.169998,63.676754,4746700
2009-06-01,92.339996,92.379997,90.570000,91.089996,61.794239,6987000
2009-06-02,91.610001,91.769997,90.779999,91.580002,62.126659,5063600
2009-06-03,91.959999,92.610001,91.330002,92.440002,62.710056,6727200
2009-06-04,91.430000,91.720001,90.239998,90.529999,61.414330,5438600
2009-06-05,89.910004,90.900002,89.550003,89.839996,60.946323,8439600
2009-06-08,90.410004,90.730003,89.480003,89.610001,60.790230,4084000
